generator,paper_id,folder,paper_file,tables_file,n_tables
gpt4o,generated_paper_0,gpt4o/generated_paper_0,gpt4o/generated_paper_0/paper.tex,gpt4o/generated_paper_0/extracted_tables.json,2
gpt4o,generated_paper_100,gpt4o/generated_paper_100,gpt4o/generated_paper_100/paper.tex,gpt4o/generated_paper_100/extracted_tables.json,2
gpt4o,generated_paper_101,gpt4o/generated_paper_101,gpt4o/generated_paper_101/paper.tex,gpt4o/generated_paper_101/extracted_tables.json,2
gpt4o,generated_paper_102,gpt4o/generated_paper_102,gpt4o/generated_paper_102/paper.tex,gpt4o/generated_paper_102/extracted_tables.json,1
gpt4o,generated_paper_103,gpt4o/generated_paper_103,gpt4o/generated_paper_103/paper.tex,gpt4o/generated_paper_103/extracted_tables.json,2
gpt4o,generated_paper_104,gpt4o/generated_paper_104,gpt4o/generated_paper_104/paper.tex,gpt4o/generated_paper_104/extracted_tables.json,3
gpt4o,generated_paper_105,gpt4o/generated_paper_105,gpt4o/generated_paper_105/paper.tex,gpt4o/generated_paper_105/extracted_tables.json,3
gpt4o,generated_paper_106,gpt4o/generated_paper_106,gpt4o/generated_paper_106/paper.tex,gpt4o/generated_paper_106/extracted_tables.json,1
gpt4o,generated_paper_107,gpt4o/generated_paper_107,gpt4o/generated_paper_107/paper.tex,gpt4o/generated_paper_107/extracted_tables.json,3
gpt4o,generated_paper_108,gpt4o/generated_paper_108,gpt4o/generated_paper_108/paper.tex,gpt4o/generated_paper_108/extracted_tables.json,3
gpt4o,generated_paper_109,gpt4o/generated_paper_109,gpt4o/generated_paper_109/paper.tex,gpt4o/generated_paper_109/extracted_tables.json,3
gpt4o,generated_paper_10,gpt4o/generated_paper_10,gpt4o/generated_paper_10/paper.tex,gpt4o/generated_paper_10/extracted_tables.json,2
gpt4o,generated_paper_110,gpt4o/generated_paper_110,gpt4o/generated_paper_110/paper.tex,gpt4o/generated_paper_110/extracted_tables.json,1
gpt4o,generated_paper_111,gpt4o/generated_paper_111,gpt4o/generated_paper_111/paper.tex,gpt4o/generated_paper_111/extracted_tables.json,2
gpt4o,generated_paper_112,gpt4o/generated_paper_112,gpt4o/generated_paper_112/paper.tex,gpt4o/generated_paper_112/extracted_tables.json,1
gpt4o,generated_paper_113,gpt4o/generated_paper_113,gpt4o/generated_paper_113/paper.tex,gpt4o/generated_paper_113/extracted_tables.json,3
gpt4o,generated_paper_114,gpt4o/generated_paper_114,gpt4o/generated_paper_114/paper.tex,gpt4o/generated_paper_114/extracted_tables.json,2
gpt4o,generated_paper_115,gpt4o/generated_paper_115,gpt4o/generated_paper_115/paper.tex,gpt4o/generated_paper_115/extracted_tables.json,1
gpt4o,generated_paper_116,gpt4o/generated_paper_116,gpt4o/generated_paper_116/paper.tex,gpt4o/generated_paper_116/extracted_tables.json,2
gpt4o,generated_paper_117,gpt4o/generated_paper_117,gpt4o/generated_paper_117/paper.tex,gpt4o/generated_paper_117/extracted_tables.json,1
gpt4o,generated_paper_118,gpt4o/generated_paper_118,gpt4o/generated_paper_118/paper.tex,gpt4o/generated_paper_118/extracted_tables.json,1
gpt4o,generated_paper_119,gpt4o/generated_paper_119,gpt4o/generated_paper_119/paper.tex,gpt4o/generated_paper_119/extracted_tables.json,1
gpt4o,generated_paper_11,gpt4o/generated_paper_11,gpt4o/generated_paper_11/paper.tex,gpt4o/generated_paper_11/extracted_tables.json,2
gpt4o,generated_paper_120,gpt4o/generated_paper_120,gpt4o/generated_paper_120/paper.tex,gpt4o/generated_paper_120/extracted_tables.json,2
gpt4o,generated_paper_121,gpt4o/generated_paper_121,gpt4o/generated_paper_121/paper.tex,gpt4o/generated_paper_121/extracted_tables.json,3
gpt4o,generated_paper_122,gpt4o/generated_paper_122,gpt4o/generated_paper_122/paper.tex,gpt4o/generated_paper_122/extracted_tables.json,1
gpt4o,generated_paper_123,gpt4o/generated_paper_123,gpt4o/generated_paper_123/paper.tex,gpt4o/generated_paper_123/extracted_tables.json,3
gpt4o,generated_paper_124,gpt4o/generated_paper_124,gpt4o/generated_paper_124/paper.tex,gpt4o/generated_paper_124/extracted_tables.json,2
gpt4o,generated_paper_125,gpt4o/generated_paper_125,gpt4o/generated_paper_125/paper.tex,gpt4o/generated_paper_125/extracted_tables.json,2
gpt4o,generated_paper_126,gpt4o/generated_paper_126,gpt4o/generated_paper_126/paper.tex,gpt4o/generated_paper_126/extracted_tables.json,2
gpt4o,generated_paper_127,gpt4o/generated_paper_127,gpt4o/generated_paper_127/paper.tex,gpt4o/generated_paper_127/extracted_tables.json,2
gpt4o,generated_paper_128,gpt4o/generated_paper_128,gpt4o/generated_paper_128/paper.tex,gpt4o/generated_paper_128/extracted_tables.json,3
gpt4o,generated_paper_129,gpt4o/generated_paper_129,gpt4o/generated_paper_129/paper.tex,gpt4o/generated_paper_129/extracted_tables.json,3
gpt4o,generated_paper_12,gpt4o/generated_paper_12,gpt4o/generated_paper_12/paper.tex,gpt4o/generated_paper_12/extracted_tables.json,2
gpt4o,generated_paper_130,gpt4o/generated_paper_130,gpt4o/generated_paper_130/paper.tex,gpt4o/generated_paper_130/extracted_tables.json,2
gpt4o,generated_paper_131,gpt4o/generated_paper_131,gpt4o/generated_paper_131/paper.tex,gpt4o/generated_paper_131/extracted_tables.json,1
gpt4o,generated_paper_132,gpt4o/generated_paper_132,gpt4o/generated_paper_132/paper.tex,gpt4o/generated_paper_132/extracted_tables.json,1
gpt4o,generated_paper_133,gpt4o/generated_paper_133,gpt4o/generated_paper_133/paper.tex,gpt4o/generated_paper_133/extracted_tables.json,3
gpt4o,generated_paper_134,gpt4o/generated_paper_134,gpt4o/generated_paper_134/paper.tex,gpt4o/generated_paper_134/extracted_tables.json,2
gpt4o,generated_paper_135,gpt4o/generated_paper_135,gpt4o/generated_paper_135/paper.tex,gpt4o/generated_paper_135/extracted_tables.json,3
gpt4o,generated_paper_136,gpt4o/generated_paper_136,gpt4o/generated_paper_136/paper.tex,gpt4o/generated_paper_136/extracted_tables.json,2
gpt4o,generated_paper_137,gpt4o/generated_paper_137,gpt4o/generated_paper_137/paper.tex,gpt4o/generated_paper_137/extracted_tables.json,1
gpt4o,generated_paper_138,gpt4o/generated_paper_138,gpt4o/generated_paper_138/paper.tex,gpt4o/generated_paper_138/extracted_tables.json,3
gpt4o,generated_paper_139,gpt4o/generated_paper_139,gpt4o/generated_paper_139/paper.tex,gpt4o/generated_paper_139/extracted_tables.json,2
gpt4o,generated_paper_13,gpt4o/generated_paper_13,gpt4o/generated_paper_13/paper.tex,gpt4o/generated_paper_13/extracted_tables.json,3
gpt4o,generated_paper_140,gpt4o/generated_paper_140,gpt4o/generated_paper_140/paper.tex,gpt4o/generated_paper_140/extracted_tables.json,2
gpt4o,generated_paper_141,gpt4o/generated_paper_141,gpt4o/generated_paper_141/paper.tex,gpt4o/generated_paper_141/extracted_tables.json,3
gpt4o,generated_paper_142,gpt4o/generated_paper_142,gpt4o/generated_paper_142/paper.tex,gpt4o/generated_paper_142/extracted_tables.json,3
gpt4o,generated_paper_143,gpt4o/generated_paper_143,gpt4o/generated_paper_143/paper.tex,gpt4o/generated_paper_143/extracted_tables.json,3
gpt4o,generated_paper_144,gpt4o/generated_paper_144,gpt4o/generated_paper_144/paper.tex,gpt4o/generated_paper_144/extracted_tables.json,2
gpt4o,generated_paper_145,gpt4o/generated_paper_145,gpt4o/generated_paper_145/paper.tex,gpt4o/generated_paper_145/extracted_tables.json,3
gpt4o,generated_paper_146,gpt4o/generated_paper_146,gpt4o/generated_paper_146/paper.tex,gpt4o/generated_paper_146/extracted_tables.json,1
gpt4o,generated_paper_147,gpt4o/generated_paper_147,gpt4o/generated_paper_147/paper.tex,gpt4o/generated_paper_147/extracted_tables.json,2
gpt4o,generated_paper_148,gpt4o/generated_paper_148,gpt4o/generated_paper_148/paper.tex,gpt4o/generated_paper_148/extracted_tables.json,2
gpt4o,generated_paper_149,gpt4o/generated_paper_149,gpt4o/generated_paper_149/paper.tex,gpt4o/generated_paper_149/extracted_tables.json,2
gpt4o,generated_paper_14,gpt4o/generated_paper_14,gpt4o/generated_paper_14/paper.tex,gpt4o/generated_paper_14/extracted_tables.json,2
gpt4o,generated_paper_150,gpt4o/generated_paper_150,gpt4o/generated_paper_150/paper.tex,gpt4o/generated_paper_150/extracted_tables.json,2
gpt4o,generated_paper_151,gpt4o/generated_paper_151,gpt4o/generated_paper_151/paper.tex,gpt4o/generated_paper_151/extracted_tables.json,2
